PromQL,Read Response
"abs(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""8""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""12""]}]}}"
"absent(nonexistent{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing"", job=""testJob""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""job"":""testJob"",""timestreamDatabase"":""correctness_testing"",""timestreamTable"":""correctness_testing""},""value"":[1604712569,""1""]}]}}"
"absent(sum(nonexistent{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing"", job=""testJob""}))","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{},""value"":[1604712569,""1""]}]}}"
"absent_over_time(nonexistent{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing"", job=""testJob""}[1h])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""job"":""testJob"",""timestreamDatabase"":""correctness_testing"",""timestreamTable"":""correctness_testing""},""value"":[1604712569,""1""]}]}}"
"ceil(rate(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h]))","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"changes(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""11""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""19""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"clamp_max(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}, 10)","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""8""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""10""]}]}}"
"clamp_min(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}, 5)","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""8""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""12""]}]}}"
"day_of_month(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""1""]}]}}"
"day_of_week(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""4""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""4""]}]}}"
"days_in_month(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""31""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""31""]}]}}"
"delta(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[1h])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/label/:name/values"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""7.384903812304428""]},{""metric"":{""code"":""200"",""handler"":""/graph"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""11.62984884790696""]},{""metric"":{""code"":""200"",""handler"":""/static/*filepath"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""302"",""handler"":""/"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"deriv(prometheus_http_requests_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""}[30s:5s])","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""code"":""200"",""handler"":""/api/v1/query"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]},{""metric"":{""code"":""200"",""handler"":""/metrics"",""instance"":""localhost:9090"",""job"":""prometheus""},""value"":[1604605150,""0""]}]}}"
"exp(prometheus_remote_storage_sent_bytes_total{timestreamDatabase=""correctness_testing"", timestreamTable=""correctness_testing""})","{""status"":""success"",""data"":{""resultType"":""vector"",""result"":[{""metric"":{""instance"":""localhost:9090"",""job"":""prometheus"",""remote_name"":""9a7824"",""url"":""http://localhost:9201/write""},""value"":[1604605150,""+Inf""]}]}}"
